uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2015-08-28 14:26:00 R,8904,2.460554330708659,High Flange,2,R,0.9375,0.938,-0.0004999999999999449,3.89343,TRUE,1115.83813,1025.59814,1005.03809
GoldenBC 2015-09-05 07:47:00 L,9359,-0.5567496062992134,High Flange,1,L,1.7500000000000002,1.438,0.3120000000000003,7.04096,TRUE,1182.62622,1075.66614,1040.01807
GoldenBC 2015-09-05 07:47:00 L,9359,-0.5567496062992134,High Flange,1,L,1.7500000000000002,1.438,0.3120000000000003,7.04096,TRUE,1182.62622,1075.66614,1040.01807
GoldenBC 2015-09-05 07:47:00 L,9359,-0.5567496062992134,High Flange,1,L,1.7500000000000002,1.438,0.3120000000000003,7.04096,TRUE,1182.62622,1075.66614,1040.01807
GoldenBC 2015-09-05 07:47:00 R,9359,-0.5567496062992134,High Flange,1,R,1.7500000000000002,1.438,0.3120000000000003,7.04096,TRUE,1182.62622,1075.66614,1040.01807
GoldenBC 2015-09-05 07:47:00 R,9359,-0.5567496062992134,High Flange,1,R,1.7500000000000002,1.438,0.3120000000000003,7.04096,TRUE,1182.62622,1075.66614,1040.01807
GoldenBC 2015-09-05 07:47:00 R,9359,-0.5567496062992134,High Flange,1,R,1.7500000000000002,1.438,0.3120000000000003,7.04096,TRUE,1182.62622,1075.66614,1040.01807
GoldenBC 2015-09-05 13:23:00 L,9359,5.43942047244094,High Flange,3,L,1.7500000000000002,1.813,-0.06299999999999972,7.03488,TRUE,1178.55811,1056.61414,1040.03015
GoldenBC 2015-09-05 13:23:00 R,9359,6.431420472440941,High Flange,3,R,1.7500000000000002,1.875,-0.12499999999999978,7.03488,TRUE,1178.55811,1056.61414,1040.03015
GoldenBC 2015-09-06 06:52:00 L,9359,4.433933858267714,High Flange,4,L,1.7500000000000002,1.75,2.220446049250313e-16,7.03887,TRUE,1178.81421,1073.31812,1040.02222
